Physical Object,Undesirable Event,Helper PO/Event,Valid
STATE_AGENT_ACTIVITY_PATHS,,,
seat,needs,boost,n
seat,needs,fitting,y
seat,needs,replaced,n
seat,needs,extending,y
seat,needs,repair,y
seat,needs,resealing,n
seat,needs,clean out,n
air conditioner,needs,fitting,n
air conditioner,needs,replaced,y
air conditioner,needs,extending,n
air conditioner,needs,repair,y
air conditioner,needs,resealing,n
air conditioner,needs,clean out,n
air conditioner,needs,replacing,y
clamps,needs,boost,n
clamps,needs,replaced,y
clamps,needs,extending,n
clamps,needs,repair,y
clamps,needs,resealing,n
clamps,needs,clean out,n
clamps,needs,replacing,y
am / fm radio,needs,boost,n
am / fm radio,needs,fitting,n
am / fm radio,needs,replaced,y
am / fm radio,needs,extending,n
am / fm radio,needs,repair,y
am / fm radio,needs,resealing,n
am / fm radio,needs,clean out,n
am / fm radio,needs,replacing,y
bolt,needs,boost,n
bolt,needs,fitting,n
bolt,needs,replaced,y
bolt,needs,extending,n
bolt,needs,repair,n
bolt,needs,resealing,n
bolt,needs,clean out,n
bolt,needs,replacing,y
dust flap,needs,boost,n
dust flap,needs,fitting,n
dust flap,needs,replaced,y
dust flap,needs,repair,y
dust flap,needs,resealing,n
dust flap,needs,clean out,y
dust flap,needs,replacing,y
joystick,needs,boost,n
joystick,needs,fitting,n
joystick,needs,replaced,y
joystick,needs,extending,n
joystick,needs,resealing,n
joystick,needs,clean out,n
joystick,needs,replacing,y
cabin,needs,boost,n
cabin,needs,fitting,n
cabin,needs,replaced,n
cabin,needs,extending,n
cabin,needs,repair,n
cabin,needs,clean out,y
isolator,needs,boost,n
isolator,needs,fitting,y
isolator,needs,replaced,y
isolator,needs,extending,n
isolator,needs,repair,y
isolator,needs,resealing,n
isolator,needs,replacing,y
hose,needs,boost,n
hose,needs,fitting,y
hose,needs,extending,y
hose,needs,repair,y
hose,needs,resealing,n
hose,needs,clean out,y
hose,needs,replacing,y
window frame,needs,boost,n
window frame,needs,fitting,y
window frame,needs,replaced,y
window frame,needs,extending,n
window frame,needs,resealing,y
window frame,needs,clean out,n
window frame,needs,replacing,y
light,needs,boost,n
light,needs,fitting,n
light,needs,replaced,y
light,needs,extending,n
