sentence,label
fuel leakingfrom fan pump,s
inverter batteries arenot charged,s
unserviceable hose on diff pump,s
ins cracks in stick,s
oil leaking from brake filter hose,s
cracking on cov,s
rep leaking brake pmp hose,s
tilt cylinder guard found brkn,s
emptying d/rope pmp cavity,s
dogbone bolt needxs loctite,s
cooler pump bolt needsloctite,s
blowing engi. air conditioner fuse,s
apply loctite on bot,s
blower inverter batteries are discharging,s
repair crack in rock deflector,s
replacing needed 4 carousel bolt,s
no grease in dogbone pin,s
sgw brake hose is in need of repair,s
cracked engine cover,s
leaking chip indicators,s
leak oil frtransmission hose,s
coolant pipe clamps req loctite,s
repair leak in slew brake pmp,s
hitch hose requires clean,s
crack in windscreen,s
