input,ground_truth,prediction,confidence
ejected,Minor in-service problems,Sentence[1]: "ejected" → Plugged / choked,0.4375
sticking shu,Fail to function,Sentence[2]: "sticking shu" → Noise,0.7706
not turning,Plugged / choked,Sentence[2]: "not turning" → Plugged / choked,0.8776
has failed,Breakdown,Sentence[2]: "has failed" → Failure to stop on demand,0.8506
needs fitting,Minor in-service problems,Sentence[2]: "needs fitting" → Minor in-service problems,0.9997
runs for a while and trip,Electrical,Sentence[6]: "runs for a while and trip" → Electrical,0.9639
very stiff to operate,Fail to function,Sentence[4]: "very stiff to operate" → Failure to stop on demand,0.6009
requires rebuild,Minor in-service problems,Sentence[2]: "requires rebuild" → Minor in-service problems,0.99
has no equipment earth,Electrical,Sentence[4]: "has no equipment earth" → Electrical,0.9974
require tighteninginspecti,Minor in-service problems,Sentence[2]: "require tighteninginspecti" → Minor in-service problems,0.2631
does not work,Breakdown,Sentence[3]: "does not work" → Failure to stop on demand,0.9947
runs continuously,Failure to stop on demand,Sentence[2]: "runs continuously" → Spurious stop,0.4975
severe corrosion,Structural deficiency,Sentence[2]: "severe corrosion" → Noise,0.4085
contamination,Contamination,Sentence[1]: "contamination" → Plugged / choked,0.5683
doesnt trip,Electrical,Sentence[2]: "doesnt trip" → Electrical,0.999
ripped,Structural deficiency,Sentence[1]: "ripped" → Plugged / choked,0.5184
unserviceable not in,Breakdown,Sentence[3]: "unserviceable not in" → Electrical,0.7162
cant be adjusted,Fail to function,Sentence[3]: "cant be adjusted" → Leaking,0.4534
worn,Structural deficiency,Sentence[1]: "worn" → Minor in-service problems,0.66
misalignment,Minor in-service problems,Sentence[1]: "misalignment" → Plugged / choked,0.2941
switched o,Spurious stop,Sentence[2]: "switched o" → Electrical,0.4326
to be torqued,Minor in-service problems,Sentence[3]: "to be torqued" → Failure to stop on demand,0.8148
sped up,High output,Sentence[2]: "sped up" → Electrical,0.9945
unable to pump,Low output,Sentence[3]: "unable to pump" → Low output,0.9504
spillage,Leaking,Sentence[1]: "spillage" → Plugged / choked,0.4365
spraying out slurry,Leaking,Sentence[3]: "spraying out slurry" → Noise,0.898
jammed open,Plugged / choked,Sentence[2]: "jammed open" → Failure to open,0.9516
no pump,Plugged / choked,Sentence[2]: "no pump" → Plugged / choked,0.8605
not truning,Plugged / choked,Sentence[2]: "not truning" → Plugged / choked,0.8097
unable to tighten,Minor in-service problems,Sentence[3]: "unable to tighten" → Failure to stop on demand,0.6794
burnt,Overheating,Sentence[1]: "burnt" → Leaking,0.6275
hot joint,Overheating,Sentence[2]: "hot joint" → Overheating,0.9762
burst,Breakdown,Sentence[1]: "burst" → Plugged / choked,0.4191
pumping fault,Low output,Sentence[2]: "pumping fault" → Overheating,0.5253
not controlling,Minor in-service problems,Sentence[2]: "not controlling" → Plugged / choked,0.8796
surging cutting in and out,Electrical,Sentence[5]: "surging cutting in and out" → Electrical,0.4512
failed electrical,Electrical,Sentence[2]: "failed electrical" → Electrical,0.9986
loose tighten,Minor in-service problems,Sentence[2]: "loose tighten" → Leaking,0.283
high earth reading,Abnormal instrument reading,Sentence[3]: "high earth reading" → Overheating,0.9515
cavitating,Erratic output,Sentence[1]: "cavitating" → Leaking,0.3193
requires repack,Minor in-service problems,Sentence[2]: "requires repack" → Minor in-service problems,0.9993
needs support,Minor in-service problems,Sentence[2]: "needs support" → Minor in-service problems,0.9995
needs maintenance,Minor in-service problems,Sentence[2]: "needs maintenance" → Minor in-service problems,0.9993
not spinning,Minor in-service problems,Sentence[2]: "not spinning" → Plugged / choked,0.6032
dont activate,Failure to start on demand,Sentence[2]: "dont activate" → Failure to stop on demand,0.7051
unserviceable b feluwa,Breakdown,Sentence[3]: "unserviceable b feluwa" → Structural deficiency,0.5914
no power,Electrical,Sentence[2]: "no power" → Electrical,0.9844
requires cleaning,Minor in-service problems,Sentence[2]: "requires cleaning" → Minor in-service problems,0.9983
doesnt work,Breakdown,Sentence[2]: "doesnt work" → Failure to stop on demand,0.7783
vibrationlubealignment,Vibration,Sentence[1]: "vibrationlubealignment" → Noise,0.5729
blockage,Plugged / choked,Sentence[1]: "blockage" → Plugged / choked,0.9953
ongoing issue,Other,Sentence[2]: "ongoing issue" → Leaking,0.4005
poorly supported,Minor in-service problems,Sentence[2]: "poorly supported" → Leaking,0.9465
rocking around,Vibration,Sentence[2]: "rocking around" → Leaking,0.9777
siezeddescale,Breakdown,Sentence[1]: "siezeddescale" → Spurious stop,0.5915
dropped,Minor in-service problems,Sentence[1]: "dropped" → Plugged / choked,0.5662
spraying,Leaking,Sentence[1]: "spraying" → Noise,0.6589
not covered,Minor in-service problems,Sentence[2]: "not covered" → Minor in-service problems,0.5463
hot jointfurn,Overheating,Sentence[2]: "hot jointfurn" → Noise,0.5807
running dry,Other,Sentence[2]: "running dry" → Leaking,0.7175
smoking up,Overheating,Sentence[2]: "smoking up" → Electrical,0.9816
jammed,Plugged / choked,Sentence[1]: "jammed" → Plugged / choked,0.5197
