sentence,label
repair diff & air pressure sensor,h
replace grease pump,h
drag rope change 24/03,h
hyd hose on stick leaking,h
welding elcb trip no propel,h
grease gaurd protecter broken off,h
repair pto shaft cover,h
diesel gen set service,h
decommissioning,h
camera monitor in cab faulty,h
repair house light cab side middle,h
repair low coolant fault,h
sos sample engine see long text,h
oil leak @ air comp,h
repl r/h corner tooth,h
replace front damaged window,h
replace conduits on fan motors,h
r/h mubflap missing,h
front struts low,h
mti capacity study & labour,h
top 840 worklights out,h
repl mounting bolts for trans cool,h
repair hyd oil leak,h
fit grab handle to cab see text,h
drag motor blower connections,h
