gantry has a crack,PhysicalObject,gantry,crack
crack in gantry,PhysicalObject,gantry,crack
gantry cracked,PhysicalObject,gantry,crack
repair crack on gantry,PhysicalObject,gantry,crack
cracked gantry needs repair,PhysicalObject,gantry,crack
tank has a crack,PhysicalObject,tank,crack
crack found in tank,PhysicalObject,tank,crack
tank is cracked,PhysicalObject,tank,crack
cracked tank,PhysicalObject,tank,crack
repair crack in tank,PhysicalObject,tank,crack
headboard has cracks,PhysicalObject/HoldingObject/StructuralSupportingObject,headboard,cracks
cracks found in headboard,PhysicalObject/HoldingObject/StructuralSupportingObject,headboard,cracks
headboard is cracked,PhysicalObject/HoldingObject/StructuralSupportingObject,headboard,cracks
repair cracks on headboard,PhysicalObject/HoldingObject/StructuralSupportingObject,headboard,cracks
headboard cracks need fixing,PhysicalObject/HoldingObject/StructuralSupportingObject,headboard,cracks
liner has a crack,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
crack in liner,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
cracked liner,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
repair crack in liner,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
liner is cracked,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
windscreen has a crack,PhysicalObject/ControllingObject/SpaceAccessObject,windscreen,crack
crack found in windscreen,PhysicalObject/ControllingObject/SpaceAccessObject,windscreen,crack
cracked windscreen,PhysicalObject/ControllingObject/SpaceAccessObject,windscreen,crack
windscreen crack,PhysicalObject/ControllingObject/SpaceAccessObject,windscreen,crack
repair crack in windscreen,PhysicalObject/ControllingObject/SpaceAccessObject,windscreen,crack
mud bucket has cracks,PhysicalObject/StoringObject/MoveableStoringObject,mud bucket,cracks
cracks in mud bucket,PhysicalObject/StoringObject/MoveableStoringObject,mud bucket,cracks
mud bucket is cracked,PhysicalObject/StoringObject/MoveableStoringObject,mud bucket,cracks
repair cracks on mud bucket,PhysicalObject/StoringObject/MoveableStoringObject,mud bucket,cracks
cracked mud bucket needs repair,PhysicalObject/StoringObject/MoveableStoringObject,mud bucket,cracks
boom has cracks,PhysicalObject/HoldingObject/StructuralSupportingObject,boom,cracks
cracks found on boom,PhysicalObject/HoldingObject/StructuralSupportingObject,boom,cracks
boom is cracked,PhysicalObject/HoldingObject/StructuralSupportingObject,boom,cracks
