Correct,Wrong
NA,n/a
accumulator,accum
air conditioner,a/c unit
air conditioner,a/c
air conditioner,a/con
air conditioner,a/cond
air conditioner,ac unit
air conditioner,ac unit
air conditioner,air - con
air conditioner,air / con
air conditioner,air con
air conditioner,air cond unit
air conditioner,air cond
air conditioner,air condition
air conditioner,air conditioner unit
air conditioner,air conditioning
air conditioner,air/con
air conditioner,aircon
air conditioner,aircond
air conditioner,aircondition
air conditioner,airconditioner
air conditioner,cab air conditioner
air conditioner heater,a/cond heater
alarm,alram
alignment,allingment
at,@
auxiliary,aux
auxiliary,auxilary
auxiliary,auxillary
auxiliary,auxilliary
battery,batterie
battery,batt
bearing,brg
belt,beltr
bent,bent up
boiler feed water pump,BFWP
break out,break-out
break out,breakout
broken,boken
bull hose,bull ho
carousel,carasel
carousel,carasoul
carousel,carosal
carousel,carosel
carousel,carosuel
carousel,carousell
cartridge,catridge
central processing unit,cpu
change out,changeout
change out,c/o
change out,c / out
change out,c/out
changeout,c/o
chassis,chassi
check,def.check
clean,clean up
clean,cleanup
collapse,collapesed
collapse,collasped
compressor,compresure
compressor,comprsor
condition monitoring,cm
condition monitoring,con mon
condition monitoring,conmon
conduit,condute
contractor,enweld
contractor_2,jakstas
contractor_3,grs
contractor_6,chubb
cooling water,c/water
corrode,corrored
crack,cracking
crack,craacking
crack,cracks
crack,craked
creep,creap
creep,creaping
cylinder,cyclinder
cylinder,cyl
cylinder,cylender
demobilise,demob
deteriorate,deterioated
drill,dril
drive end,d/e
earth leakage,e/l
emergency stop,e stop
engine,eng
engine control unit,ecu
evaporative fans,evap fans
fabricate,fab
fault,faulty
fault,faut
fault,faulted
fault,faulting
floor,flr
fluctuate,fulctuating
front,fron
front,on front of
gauge,guage
gearbox,gbx
gland packing,g/p
gland water,gw
gland water,g/w
gland water,g\w
grease,greas
ground,grd
ground connection,groundconnections
guard,gaurd
high pressure,hp
high voltage,hv
hour,hr
hydraulic,hyd
hydraulic,hyd.
hydraulic,hydrauilc
hydraulic,hydraulics
hydraulic fitting,hyd fitting
hydraulic line,hyd line
hydraulic line,hydraulics line
inadequate,innadequate
inspect,insp
is not,isn't
kilowatt,kw
leak,laek
leak,leakage
leak,leakin
leak,leaking
left hand ,l/h
left hand ,lh
left hand side,l/h/s
left hand side,lh side
left hand side,lhs
left hand side,left hand
lose,loosing
lost,lose
lost,loses
low voltage,lv
lower,lowe
magnetic,mag
magnetic seperator,mag sept
maintenance,maintanance
maintenance,maintainance
make-up,make up
mechanical seal,mech seal
motor,moter
noisy,noisey
non return valve,nrv
not cold enough,not cold
o-ring,0 ring
oring,o ring
over temperature,o/temp
over temperature,over temp
overload,ol
overload,o/load
permalube,perma lube
positioner,poasitioner
positioner,postioner
positive displacement,pd
programmable logic controller,PLC
push button,p/b
rear,rear of
reattach,re-attach
reattach,re - attach
receive,receiv
redesign,re-design
redesign,re design
reinstate,re-instate
reinstate,re - instate
relocate,re - locate
relocate,re - locate
relocate,re-locate
repair,/repair
repair,overhaul
repair,reapair
repair,repairs
repair,repiars
replace,repl
replace,repalce
replace,replaec
require,reqiuerd
require,reqiuerd
residual current device,rcd
reterminate,re-terminate
reterminate,re - terminate
right hand ,rh
right hand ,right hand
right hand side,r/h
right hand side,r/h/s
right hand side,rh side
right hand side,rhs
run of mine,ROM
safety critical element,sce
service,servicing
service,svce
shut,shuting
shutting down,shuitting down
software,sw
switch,switche
tachometer,tacho
temperature,temp
temperature sensor,rtd
top,top of
track,trrack
tramming,traming
trip,tripping on
trip,tripping out
turbo manifold,turbo/manifold
two way,2way
two way radio,2-way
two way radio,two way
underflow,u/f
underflow,u/flow
unserviceable,u/s
vacuum,vac
valve,valves
valve,vlv
valve,vv
valve,v/v
variable frequency drive,vfd
variable speed drive,vsd
vibration,vib
vibration,vibs
vibration analysis,va
vibration analysis,VA
water treatment pump,wtp
will not,wont
will not,won't
will not ,wo n't
won't release,'won  t release'
