PhysicalObject,UndesirableEvent,Helper,Sentence0,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5
steering cylinder bearings,excess play,,steering cylinder bearings have excess play,the steering cylinder bearings exhibit excess play,steering cylinder bearings are showing excess play,there is excess play in the steering cylinder bearings,excess play has been observed in the steering cylinder bearings,the bearings in the steering cylinder have excess play
blade skin,cracked,,blade skin cracked,the blade skin is cracked,crack in blade skin,blade skin shows signs of cracking,cracks have appeared in the blade skin,there is a crack in the blade skin
jacking cylinder ends,unserviceable,,cabin jacking cylinder ends unserviceable,the jacking cylinder ends are unserviceable,ends of the jacking cylinder are unservicerable,unserviceable jacking cylinder ends,jacking cylinder ends in cabin are unserviceable,found unserviceable jacking cylinder ends
blade liner,crack,,crack in blade liner left hand side,blade liner has a crack on the left hand side,blade liner has a crack on the left side,crack found in blade liner,blade liner has a crack,left hand side of blade liner has a crack
park brake indicator light,going on and off,,park brake indicator light going on and off,park brake indicator light keeps going on and off,park brake indicator light intermittently goes on and off,indicator light for park brake going on and off,indicator light for park brake keeps going on and off,park brake indicator light goes on and off
air horn,stuck on,,air horn stuck on,the air horn is stuck on,air horn remains stuck on,air horn is continuously stuck on,air horn is stuck in the on position,the air horn is unable to turn off and is stuck on
fire suppression mounts,cracks,,cracks in fire suppression mounts,fire supression mounts have visible cracks,fire supression mounts show signs of cracking,cracks present in fire supression mounts,there are cracks in the fire supression mounts,cracking observed in fire supression mounts
cabin window,needs,resealing,cabin window needs resealing,cabin window needs to be resealed,resealing required for cabin window,cabin window is in need of resealing,cabin window requires resealing
fire extinguisher,out of date,,fire extinguisher out of date,fire extinguisher is out of date,fire extinguisher has expired,fire extinguisher is past its expiry date,fire extinguisher already out of date,fire extinguisher has become out of date
air horn,working intermittently,,air horn working intermittently,air horn is working intermittently,air horn is intermittently working,air horn operating intermittently,air horn is working in an intermittent manner,air horn is only working intermittently
hydraulic hose,leaking,,change out leaking hydraulic hose,hydraulic hose is leaking,hydraulic hose has a leak,leaking hydraulic hose,replace the leacking hydraulic hose,leaking hydraulic hose needs to be changed out
glass window,crack,,glass window has large crack,glass window is cracked,crack in glass window,crack found in glass window,cracked glass window,large crack in glass window
relay valve,leaking,,change out leaking relay valve,relay valve is leaking,relay valve has a leak,leaking relay valve,replace the leaking relay valve,leaking relay valve needs to be changed out
rock deflector,crack,,crack onside rock deflector,rock deflector has a crack,rock deflector is cracked,crack found in rock deflector,rock deflector has a crack on the side,rock deflector has a crack
beacon mount,broken,,beacon mount is broken,beacon mount has broken,broken beacon mount,beacon mount is in a broken state,beacon mount is found to be broken,replace broken beacon mount
fuse,keep blowing,,front lights keep blowing fuse
bolt,popped,,carousel popped bolt needs Loctite
guide,unserviceable,,left hand chain guide unserviceable
air,bypassing,,grease pump is bypassing air
sight glasses,unserviceable,,radiator sight glasses unserviceable
lock,broken,,differential lock broken
roller,unserviceable,,right hand bobbin roller unserviceable
grease pump,bypassing,air,grease pump is bypassing air
isolator,needs,clean out,main isolator needs clean out
air conditioner pressure switch,unserviceable,,air conditioner pressure switch unserviceable
scoreboard base,cracked,,repair left hand scoreboard base cracked
lighting,requires,testing,all lighting requires testing
engine mount,movement,,movement found right hand engine mount
stick,cracks,,repair cracks on stick
glass,cracked,,replace cracked glass in entry door
cross member,crack,,repair crack in right hand side of rear cross member
transmission screen,unserviceable,,replace unserviceable transmission screen
tracks,need,adjusting,the tracks need some adjusting
