PhysicalObject,UndesirableEvent,Helper,Original
steering cylinder bearings,excess play,,steering cylinder bearings have excess play
blade skin,cracked,,crack in blade skin
jacking cylinder ends,unserviceable,,jacking cylinder ends unserviceable
blade liner,crack,,crack in blade liner
park brake indicator light,going on and off,,park brake indicator light going on and off
air horn,stuck on,,air horn stuck on
fire suppression mounts,cracks,,cracks in fire suppression mounts
cabin window,needs,resealing,cabin window needs resealing,
air horn,working intermittently,,air horn working intermittently
hydraulic hose,leaking,,change out leaking hydraulic hose
glass window,crack,,crack in glass window
relay valve,leaking,,change out leaking relay valve
rock deflector,crack,,crack onside rock deflector
beacon mount,broken,,beacon mount is broken,
fuse,keep blowing,,front lights keep blowing fuse
bolt,popped,,carousel popped bolt needs Loctite
guide,unserviceable,,left hand chain guide unserviceable
air,bypassing,,grease pump is bypassing air
sight glasses,unserviceable,,radiator sight glasses unserviceable
lock,broken,,differential lock broken
roller,unserviceable,,right hand bobbin roller unserviceable
grease pump,bypassing,air,grease pump is bypassing air
isolator,needs,clean out,main isolator needs clean out
air conditioner pressure switch,unserviceable,,air conditioner pressure switch unserviceable
scoreboard base,cracked,,repair left hand scoreboard base cracked
lighting,requires,testing,all lighting requires testing
engine mount,movement,,movement found right hand engine mount
stick,cracks,,repair cracks on stick
glass,cracked,,replace cracked glass in entry door
cross member,crack,,repair crack in right hand side of rear cross member
transmission screen,unserviceable,,replace unserviceable transmission screen
tracks,need,adjusting,the tracks need some adjusting
