PhysicalObject,UndesirableEvent,Helper,Sentence0,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5
steering cylinder bearings,excess play,,steering cylinder bearings have excess play,steering cylinder bearings exhibit excess play,steering cylinder bearings are showing excess play,excess play in steering cylinder bearings,bearings in steering cylinder have excess play,steering cylinder bearings show excess play
blade skin,cracked,,blade skin cracked,blade skin is cracked,crack in blade skin,blade skin shows signs of cracking,cracks have appeared in the blade skin,cracked blade skin
jacking cylinder ends,unserviceable,,cabin jacking cylinder ends unserviceable,jacking cylinder ends are unserviceable,ends of jacking cylinder are unservicerable,unserviceable jacking cylinder ends,found unserviceable jacking cylinder ends,jacking cylinder ends found unserviceable
blade liner,crack,,crack in blade liner left hand side,blade liner crack on left hand side,blade liner has a crack on left side,crack found in blade liner,blade liner has a crack,left hand side of blade liner cracked
park brake indicator light,going on and off,,park brake indicator light going on and off,park brake indicator light keeps going on and off,park brake indicator light intermittently goes on and off,indicator light for park brake going on and off,indicator light for park brake keeps going on and off,park brake indicator light goes on and off
air horn,stuck on,,air horn stuck on,the air horn is stuck on,air horn remains stuck on,air horn is continuously stuck on,air horn stuck on position,air horn only stuck on
fire suppression mounts,cracks,,cracks in fire suppression mounts,fire supression mounts have visible cracks,fire supression mounts is cracking,cracks in fire supression mounts,cracks found on fire supression mounts,cracking in fire supression mounts
cabin window,needs,resealing,cabin window needs resealing,cabin window needs to be resealed,resealing required for cabin window,reseal cabin window,cabin window requires resealing,cabin window to be resealed
fire extinguisher,out of date,,fire extinguisher out of date,fire extinguisher is out of date,fire extinguisher expired,fire extinguisher past expiry date,outdated fire extinguisher,out of date fire extinguisher
air horn,working intermittently,,air horn working intermittently,air horn is working intermittently,air horn intermittently working,air horn operating intermittently,air horn working in intermittent manner,air horn only working intermittently
hydraulic hose,leaking,,change out leaking hydraulic hose,hydraulic hose is leaking,hydraulic hose has a leak,leaking hydraulic hose,replace the leacking hydraulic hose,leaking hydraulic hose needs to be changed out
glass window,crack,,glass window has large crack,glass window is cracked,crack in glass window,crack found in glass window,cracked glass window,large crack in glass window
relay valve,leaking,,change out leaking relay valve,relay valve is leaking,relay valve has a leak,leaking relay valve,replace leaking relay valve,leaking relay valve needs change out
rock deflector,crack,,crack onside rock deflector,rock deflector has a crack,rock deflector is cracked,crack found in rock deflector,rock deflector crack on the side,cracking rock deflector
beacon mount,broken,,beacon mount is broken,beacon mount has broken,broken beacon mount,beacon mount in broken state,beacon mount found broken,replace broken beacon mount
fuse,keep blowing,,front lights keep blowing fuse
bolt,popped,,carousel popped bolt needs Loctite
guide,unserviceable,,left hand chain guide unserviceable
air,bypassing,,grease pump is bypassing air
sight glasses,unserviceable,,radiator sight glasses unserviceable
lock,broken,,differential lock broken
roller,unserviceable,,right hand bobbin roller unserviceable
grease pump,bypassing,air,grease pump is bypassing air
isolator,needs,clean out,main isolator needs clean out
air conditioner pressure switch,unserviceable,,air conditioner pressure switch unserviceable
scoreboard base,cracked,,repair left hand scoreboard base cracked
lighting,requires,testing,all lighting requires testing
engine mount,movement,,movement found right hand engine mount
stick,cracks,,repair cracks on stick
glass,cracked,,replace cracked glass in entry door
cross member,crack,,repair crack in right hand side of rear cross member
transmission screen,unserviceable,,replace unserviceable transmission screen
tracks,need,adjusting,the tracks need some adjusting
