Breakdown,"['falure', 'unserviceable dpr 1', 'seized shut', 'not working', 'not performing', 'us', 'wont pump floc', 'needs replacing', 'not running', 'broke away', 'failed internaly', 'to be removed', 'fail again', 'needs to be replaced', 'non operational', 'broken off', 'failed', 'unserviceable and line', 'doesnt operate', 'seized open', 'needs replaceing', 'wont pump', 'not wo', 'siezed', 'disconnected', 'broken loose', 'failing', 'are not operational', 'siezed shut', 'died', 'not operational', 'seizedbogged', 'usversicol', 'burst again', 'perished', 'collapsed', 'fried', 'seized breakdown', 'needs replacement', 'not workin', 'not operating', 'unserviceable no contol', 'broken near', 'not working on', 'seizes at time', 'buggered', 'seized', 'will not pump', 'siezing on', 'unserviceable pump', 'broken', 'broke', 'broken electrical', 'colapsed', 'will not run', 'need replacing', 'fail', 'need replaceing', 'will not run in', 'needs rebuild', 'needs re build', 'unserviceable please replace', 'unserviceable leak sulphur', 'not performingpumping', 'seize', 'failure', 'broken into', 'noyt pumping', 'brokenmissing', 'wont pump to', 'unserviceable su', 'siezedjammed', 'require replacing', 'need change', 'has failed', 'does not work', 'unserviceable not in', 'burst', 'unserviceable b feluwa', 'doesnt work', 'siezeddescale']"
Plugged / choked,"['bogged', 'no pressure output', 'blocked', 'not supplying', 'flow issue', 'blocking', 'not being pumped away', 'not pumping enough', 'inefficiant', 'not reaching flow', 'low flow', 'jammedseized', 'not pumping enough to get', 'not draining', 'not moving', 'no pressure', 'not pumpung', 'not turning restriction', 'jammed in place', 'not pumping issue', 'no flow', 'blockedseized', 'not maintaining', 'not pumping', 'not pumpingeast', 'no oil movement', 'not providing pressure', 'not puming', 'jammed closed', 'congested', 'needs freeing up', 'not able to maintain level', 'no out put', 'not pump', 'inconsistant flow', 'getting jammed', 'does dont pump at', 'not able to pump', 'doesnt pump to', 'inefficient', 'not pumping away', 'no output', 'low pressure', 'not maintaining pressure', 'not turning', 'jammed open', 'no pump', 'not truning', 'blockage', 'jammed']"
Leaking,"['spaying slurry', 'spilled', 'leak exponentially', 'leak slurry', 'lost its packing', 'leakspray', 'passing excessively', 'leak when shut', 'leak on', 'leak in two place', 'over flowed', 'passingleaking', 'passing on', 'weeping', 'leakhose', 'passing when closed', 'leak underflow', 'leakhole', 'relieving too early', 'weaping', 'sparaying', 'spraying out of', 'leaked out', 'lealing', 'slurry spraying out', 'constantly losing', 'passing', 'spraying out', 'filled', 'leaky', 'leakingreplace', 'consumeing', 'passing u', 'leakingneed', 'leak excessivly', 'spilling', 'leak out', 'passing slurry', 'leak u', 'not holding', 'flooding', 'spillage', 'spraying out slurry', 'spraying']"
Minor in-service problems,"['fell of', 'requires repacking', 'blow', 'need a descale', 'not open', 'requires attention', 'needs to be extended', 'needs to be held down', 'needs repacked', 'blown out', 'fall off', 'scaled up', 'fallen off', 'not there', 'fallen out', 'unsupported', 'not able to open', 'need straighting', 'fell apart', 'needs to be descaled', 'come adrift', 'needs adjusting', 'no guarding', 'no sightglass', 'not connected', 'coming out', 'requires handle', 'not opening', 'needs to be rebuilt', 'needs supporting', 'not attached corroded', 'not closing', 'require adjusting', 'bent', 'blew off', 'no fill', 'needs packing', 'require tightening', 'coming adrift', 'looseworn', 'needs modifying', 'blowin', 'needs alignment', 'losing', 'no belt', 'needs tightened', 'needs patched up', 'blew off top of', 'requires slotting', 'come loose', 'needs a repack', 'require investigating', 'slippery', 'no seal', 'blown out at', 'come free of', 'needs repack', 'not secure', 'missing on', 'require changing', 'missing blank', 'needs repacking', 'blowen', 'adrift', 'pot in backward', 'requires replacing', 'requires clean', 'missingloose', 'incorrect orientation', 'not attached', 'needs another row', 'covered', 'requires a descale', 'dirty', 'needs to be flushed', 'appears loose', 'not secured', 'needs to be dismantled', 'missing off', 'slipping', 'caught in suction', 'come off', 'loose', 'pinholed', 'slipped off', 'needs scope', 'exposed', 'misaligning', 'out of position', 'looseness', 'blowing', 'dislodged', 'needs securing', 'not connectedblanked', 'no indication', 'needs inspecting', 'blow out', 'need modifying', 'requires topupstop', 'dragged', 'stretched', 'needs a descale', 'out of adjustment', 'needs to be repacked', 'needs fixing', 'detached', 'need repacking', 'requires modifying', 'requires replacement', 'gone', 'needs descale', 'not square', 'unsecure', 'detaching', 'requires descale', 'misaligned', 'requires de scale', 'needs tuning', 'missing hold down', 'need marking up', 'ejected', 'needs fitting', 'requires rebuild', 'require tighteninginspecti', 'misalignment', 'to be torqued', 'unable to tighten', 'not controlling', 'loose tighten', 'requires repack', 'needs support', 'needs maintenance', 'not spinning', 'requires cleaning', 'poorly supported', 'dropped', 'not covered']"
Structural deficiency,"['damageblockage', 'needs repairing', 'rusted through', 'degraded', 'shredded', 'corroded close out', 'snapped', 'has a hole on', 'sheared', 'split', 'hole in suction', 'worn through', 'damage', 'wornbelt', 'badly rusted', 'corrosion on', 'badly corrod', 'ruptured', 'cracked', 'rusty', 'badly corroded in', 'rusted away', 'crack', 'torn', 'severely corroded', 'rusted of', 'may burst', 'has a split in', 'corrodedstripped', 'sheared off', 'corroding', 'badly corroded', 'holedinspect', 'sheered', 'worn out', 'heavy corrosion', 'very corroded', 'badly corr', 'starting to crack', 'crack in transition', 'worn again', 'rusted off', 'holed', 'coroded', 'defect notice', 'has crack', 'has split', 'snapped off', 'brittle', 'dented', 'stripped', 'snaped', 'hole in', 'snappedplugged', 'rupture', 'corrosion', 'rusted', 'split in two place', 'hole', 'erroded', 'wornblocked', 'defect', 'excesively worn', 'snaped off', 'badly worn', 'deformed', 'severe corrosion', 'ripped', 'worn']"
Noise,"['squeeling', 'noisy sce', 'noise', 'sound', 'knocking', 'noisyvibrating', 'squealing', 'grinding']"
Failure to start on demand,"['no starting issue', 'wont run and', 'wont run in', 'not engaging', 'cannot run in', 'will not start in', 'wont turn', 'not kicking in', 'unable to run', 'failing to start', 'unresponsive', 'fail to start', 'wont reset', 'wont work', 'wont rotate', 'will not start', 'will not restart', 'not starting', 'will not start after flushing', 'cannot start', 'wont start', 'failed restest', 'starting issue', 'wont run', 'unable to get running', 'not starting in sequence', 'will not reset', 'dont activate']"
Vibration,"['shaking', 'vibrationcheck', 'vibration issue', 'viberating', 'bad vibration', 'alarming vibration', 'vibration', 'high vibration', 'very high vibration', 'vibrationlaser', 'keeps vibrating shut', 'vibrating', 'rubbing', 'rocking voilently', 'moving a lot', 'vibrationlubealignment', 'rocking around']"
Overheating,"['over heating', 'boil out', 'been running hot', 'hot liquid', 'fire', 'hot thermography', 'smoking', 'smoke', 'have smoked up', 'burnt out', 'running hot', 'hot', 'sitting on hot', 'burnt off', 'burn', 'smoking hot', 'burnt', 'hot joint', 'hot jointfurn', 'smoking up']"
Fail to function,"['sticking', 'stuck in', 'twisting', 'stiff', 'will not shut', 'poor', 'wont open', 'stuck', 'not running in', 'turning in reverse', 'may be failing', 'stuck in open position', 'will not turn', 'sce fault', 'twisted', 'will not fully close', 'stiff to turn', 'sticking shu', 'very stiff to operate', 'cant be adjusted']"
